Country or Area,Year,Area,Sex,City,City type,Record Type,Reliability,Source Year,Population,Value Footnotes
Australia,2012,Total,Male,Greater Sydney,City proper,Estimate - de jure,"Final figure, complete",2014,2316731,6
Australia,2012,Total,Male,Hobart,City proper,Estimate - de jure,"Final figure, complete",2014,101483,6
Australia,2012,Total,Male,Melbourne,City proper,Estimate - de jure,"Final figure, complete",2014,2017615,6
Australia,2012,Total,Male,Newcastle-Maitland,City proper,Estimate - de jure,"Final figure, complete",2014,208652,6
Australia,2012,Total,Male,Perth,City proper,Estimate - de jure,"Final figure, complete",2014,915991,6
Australia,2012,Total,Male,Sunshine Coast,City proper,Estimate - de jure,"Final figure, complete",2014,139412,6
Australia,2012,Total,Male,Sydney,City proper,Estimate - de jure,"Final figure, complete",2014,2131328,6
Australia,2012,Total,Male,Toowoomba,City proper,Estimate - de jure,"Final figure, complete",2014,53632,6
Australia,2012,Total,Male,Townsville,City proper,Estimate - de jure,"Final figure, complete",2014,85994,6
Australia,2012,Total,Male,Wollongong,City proper,Estimate - de jure,"Final figure, complete",2014,141201,6
Australia,2012,Total,Female,Adelaide,City proper,Estimate - de jure,"Final figure, complete",2014,636282,6
Australia,2012,Total,Female,Brisbane,City proper,Estimate - de jure,"Final figure, complete",2014,1055732,6
Australia,2012,Total,Female,Cairns,City proper,Estimate - de jure,"Final figure, complete",2014,71582,6
Australia,2012,Total,Female,Canberra-Queanbeyan,City proper,Estimate - de jure,"Final figure, complete",2014,206733,6
Australia,2012,Total,Female,Central Coast,City proper,Estimate - de jure,"Final figure, complete",2014,163360,6
Australia,2012,Total,Female,Darwin,City proper,Estimate - de jure,"Final figure, complete",2014,55417,6
Australia,2012,Total,Female,Geelong,City proper,Estimate - de jure,"Final figure, complete",2014,90893,6
Australia,2012,Total,Female,Gold Coast-Tweed Heads,City proper,Estimate - de jure,"Final figure, complete",2014,301792,6
Australia,2012,Total,Female,Greater Adelaide,City proper,Estimate - de jure,"Final figure, complete",2014,649983,6
Australia,2012,Total,Female,Greater Brisbane,City proper,Estimate - de jure,"Final figure, complete",2014,1101583,6
Australia,2012,Total,Female,Greater Darwin,City proper,Estimate - de jure,"Final figure, complete",2014,62938,6
Australia,2012,Total,Female,Greater Hobart,City proper,Estimate - de jure,"Final figure, complete",2014,109638,6
Australia,2012,Total,Female,Greater Melbourne,City proper,Estimate - de jure,"Final figure, complete",2014,2150335,6
Australia,2012,Total,Female,Greater Perth,City proper,Estimate - de jure,"Final figure, complete",2014,950411,6
Australia,2012,Total,Female,Greater Sydney,City proper,Estimate - de jure,"Final figure, complete",2014,2355888,6
Australia,2012,Total,Female,Hobart,City proper,Estimate - de jure,"Final figure, complete",2014,104074,6
Australia,2012,Total,Female,Melbourne,City proper,Estimate - de jure,"Final figure, complete",2014,2069119,6
Australia,2012,Total,Female,Newcastle-Maitland,City proper,Estimate - de jure,"Final figure, complete",2014,212198,6
Australia,2012,Total,Female,Perth,City proper,Estimate - de jure,"Final figure, complete",2014,918193,6
Australia,2012,Total,Female,Sunshine Coast,City proper,Estimate - de jure,"Final figure, complete",2014,147085,6
Australia,2012,Total,Female,Sydney,City proper,Estimate - de jure,"Final figure, complete",2014,2162088,6
Australia,2012,Total,Female,Toowoomba,City proper,Estimate - de jure,"Final figure, complete",2014,57223,6
Australia,2012,Total,Female,Townsville,City proper,Estimate - de jure,"Final figure, complete",2014,85830,6
Australia,2012,Total,Female,Wollongong,City proper,Estimate - de jure,"Final figure, complete",2014,142042,6
Australia,2011,Total,Male,Adelaide,City proper,Census - de jure - complete tabulation,"Final figure, complete",2012,586502,"7,8"
Australia,2011,Total,Male,Adelaide,Urban agglomeration,Census - de jure - complete tabulation,"Final figure, complete",2012,600011,"7,8"
Australia,2011,Total,Male,Brisbane,City proper,Census - de jure - complete tabulation,"Final figure, complete",2012,974866,"7,8"
Australia,2011,Total,Male,Brisbane,Urban agglomeration,Census - de jure - complete tabulation,"Final figure, complete",2012,1019557,"7,8"
Australia,2011,Total,Male,Cairns,City proper,Estimate - de jure,Provisional figure,2013,69412,6
Australia,2011,Total,Male,Cairns,Urban agglomeration,Census - de jure - complete tabulation,"Final figure, complete",2012,66187,"7,8"
Australia,2011,Total,Male,CANBERRA,City proper,Census - de jure - complete tabulation,"Final figure, complete",2012,176414,"7,8"
Australia,2011,Total,Male,CANBERRA,Urban agglomeration,Census - de jure - complete tabulation,"Final figure, complete",2012,193942,"7,8"
Australia,2011,Total,Male,Canberra-Queanbeyan,City proper,Estimate - de jure,Provisional figure,2013,201320,6
Australia,2011,Total,Male,Central Coast,Urban agglomeration,Census - de jure - complete tabulation,"Final figure, complete",2012,146926,"7,8"
Australia,2011,Total,Male,Darwin,City proper,Census - de jure - complete tabulation,"Final figure, complete",2012,55424,"7,8"
Australia,2011,Total,Male,Darwin,Urban agglomeration,Census - de jure - complete tabulation,"Final figure, complete",2012,62896,"7,8"
Australia,2011,Total,Male,Geelong,City proper,Estimate - de jure,Provisional figure,2013,87287,6
Australia,2011,Total,Male,Geelong,Urban agglomeration,Census - de jure - complete tabulation,"Final figure, complete",2012,84414,"7,8"
Australia,2011,Total,Male,Gold Coast-Tweed Heads,City proper,Estimate - de jure,Provisional figure,2013,284480,6
Australia,2011,Total,Male,Gold Coast-Tweed Heads,Urban agglomeration,Census - de jure - complete tabulation,"Final figure, complete",2012,271876,"7,8"
Australia,2011,Total,Male,Greater Adelaide,City proper,Estimate - de jure,Provisional figure,2013,620272,6
Australia,2011,Total,Male,Greater Brisbane,City proper,Estimate - de jure,Provisional figure,2013,1066294,6
Australia,2011,Total,Male,Greater Darwin,City proper,Estimate - de jure,Provisional figure,2013,67456,6
Australia,2011,Total,Male,Greater Hobart,City proper,Estimate - de jure,Provisional figure,2013,106801,6
Australia,2011,Total,Male,Greater Melbourne,City proper,Estimate - de jure,Provisional figure,2013,2057443,6
Australia,2011,Total,Male,Greater Perth,City proper,Estimate - de jure,Provisional figure,2013,913400,6
Australia,2011,Total,Male,Greater Sydney,City proper,Estimate - de jure,Provisional figure,2013,2282648,6
Australia,2011,Total,Male,Greater Wollongong,Urban agglomeration,Census - de jure - complete tabulation,"Final figure, complete",2012,132771,"7,8"
Australia,2011,Total,Male,Hobart,City proper,Census - de jure - complete tabulation,"Final figure, complete",2012,97250,"7,8"
Australia,2011,Total,Male,Hobart,Urban agglomeration,Census - de jure - complete tabulation,"Final figure, complete",2012,102880,"7,8"
Australia,2011,Total,Male,Melbourne,City proper,Census - de jure - complete tabulation,"Final figure, complete",2012,1890871,"7,8"
Australia,2011,Total,Male,Melbourne,Urban agglomeration,Census - de jure - complete tabulation,"Final figure, complete",2012,1966503,"7,8"
Australia,2011,Total,Male,Newcastle,Urban agglomeration,Census - de jure - complete tabulation,"Final figure, complete",2012,195429,"7,8"
Australia,2011,Total,Male,Newcastle-Maitland,City proper,Estimate - de jure,Provisional figure,2013,204707,6
Australia,2011,Total,Male,Perth,City proper,Census - de jure - complete tabulation,"Final figure, complete",2012,828733,"7,8"
Australia,2011,Total,Male,Perth,Urban agglomeration,Census - de jure - complete tabulation,"Final figure, complete",2012,858306,"7,8"
Australia,2011,Total,Male,Sunshine Coast,City proper,Estimate - de jure,Provisional figure,2013,136071,6
Australia,2011,Total,Male,Sunshine Coast,Urban agglomeration,Census - de jure - complete tabulation,"Final figure, complete",2012,130928,"7,8"
Australia,2011,Total,Male,Sydney,City proper,Census - de jure - complete tabulation,"Final figure, complete",2012,1985922,"7,8"
Australia,2011,Total,Male,Sydney,Urban agglomeration,Census - de jure - complete tabulation,"Final figure, complete",2012,2162220,"7,8"
Australia,2011,Total,Male,Toowoomba,City proper,Estimate - de jure,Provisional figure,2013,52564,6
Australia,2011,Total,Male,Toowoomba,Urban agglomeration,Census - de jure - complete tabulation,"Final figure, complete",2012,50863,"7,8"
Australia,2011,Total,Male,Townsville,City proper,Estimate - de jure,Provisional figure,2013,83930,6
Australia,2011,Total,Male,Townsville,Urban agglomeration,Census - de jure - complete tabulation,"Final figure, complete",2012,80736,"7,8"
Australia,2011,Total,Male,Wollongong,City proper,Estimate - de jure,Provisional figure,2013,139833,6
Australia,2011,Total,Female,Adelaide,City proper,Census - de jure - complete tabulation,"Final figure, complete",2012,611966,"7,8"
Australia,2011,Total,Female,Adelaide,Urban agglomeration,Census - de jure - complete tabulation,"Final figure, complete",2012,625224,"7,8"
Australia,2011,Total,Female,Brisbane,City proper,Census - de jure - complete tabulation,"Final figure, complete",2012,1002449,"7,8"
Australia,2011,Total,Female,Brisbane,Urban agglomeration,Census - de jure - complete tabulation,"Final figure, complete",2012,1046439,"7,8"
Australia,2011,Total,Female,Cairns,City proper,Estimate - de jure,Provisional figure,2013,70281,6
Australia,2011,Total,Female,Cairns,Urban agglomeration,Census - de jure - complete tabulation,"Final figure, complete",2012,67724,"7,8"
Australia,2011,Total,Female,CANBERRA,City proper,Census - de jure - complete tabulation,"Final figure, complete",2012,180171,"7,8"
